"REMinProductionTarget[r,y]","Minimum ratio  of all renewable commodities tagged in the RETagCommodity parameter, to be produced by the technologies tagged with the RETechnology parameter."
Emissions,
"EmissionActivityRatio[r,t,e,m,y]","Emission factor of a technology per unit of activity, per mode of operation."
"EmissionsPenalty[r,e,y]",Penalty per unit of emission.
"AnnualExogenousEmission[r,e,y]","It allows the user to account for additional annual emissions, on top of those computed endogenously by the model (e.g. emissions generated outside the region)."
"AnnualEmissionLimit[r,e,y]",Annual upper limit for a specific emission generated in the whole modelled region.
"ModelPeriodExogenousEmission[r,e]","It allows the user to account for additional emissions over the entire modelled period, on top of those computed endogenously by the model (e.g. generated outside the region)."
"ModelPeriodEmissionLimit[r,e]","Annual upper limit for a specific emission generated in the whole modelled region, over the entire modelled period."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
